"Timestamp","RuleTitle","Level","Computer","Channel","EventID","RecordID","Details","ExtraFieldInfo","RuleID"
"2026-09-04 02:14:11.992 +05:30","User Added To Local Admin Grp","high","DESKTOP-K3ALL77","Sec",4732,239,"SrcSID: S-1-5-21-859847384-699219563-2241857789-1000 ¦ TgtGrp: Administrators ¦ LID: 0x3e7","MemberName: - ¦ PrivilegeList: - ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserName: WIN-CPGOV99NT8H$ ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: Builtin ¦ TargetSid: S-1-5-32-544","611e2e76-a28f-4255-812c-eb8836b2f5bb"
"2026-09-03 13:54:56.036 +05:30","User Added To Local Admin Grp","high","DESKTOP-K3ALL77","Sec",4732,572,"SrcSID: S-1-5-21-859847384-699219563-2241857789-1001 ¦ TgtGrp: Administrators ¦ LID: 0x3e7","MemberName: - ¦ PrivilegeList: - ¦ SubjectDomainName: WORKGROUP ¦ SubjectUserName: WIN-CPGOV99NT8H$ ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: Builtin ¦ TargetSid: S-1-5-32-544","611e2e76-a28f-4255-812c-eb8836b2f5bb"
"2026-09-04 02:14:11.855 +05:30","Password Reset By Admin","med","DESKTOP-K3ALL77","Sec",4724,234,"SubjectDomainName: WORKGROUP ¦ SubjectLogonId: 0x3e7 ¦ SubjectUserName: WIN-CPGOV99NT8H$ ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: DESKTOP-K3ALL77 ¦ TargetSid: S-1-5-21-859847384-699219563-2241857789-1000 ¦ TargetUserName: defaultuser0","-","0b78aca4-35f0-4bec-acce-c5743ff26614"
"2026-09-04 02:14:11.926 +05:30","Password Reset By Admin","med","DESKTOP-K3ALL77","Sec",4724,236,"SubjectDomainName: WORKGROUP ¦ SubjectLogonId: 0x3e7 ¦ SubjectUserName: WIN-CPGOV99NT8H$ ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: DESKTOP-K3ALL77 ¦ TargetSid: S-1-5-21-859847384-699219563-2241857789-1000 ¦ TargetUserName: defaultuser0","-","0b78aca4-35f0-4bec-acce-c5743ff26614"
"2026-09-03 13:54:56.002 +05:30","Password Reset By Admin","med","DESKTOP-K3ALL77","Sec",4724,567,"SubjectDomainName: WORKGROUP ¦ SubjectLogonId: 0x3e7 ¦ SubjectUserName: WIN-CPGOV99NT8H$ ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: DESKTOP-K3ALL77 ¦ TargetSid: S-1-5-21-859847384-699219563-2241857789-1001 ¦ TargetUserName: Hayabusa","-","0b78aca4-35f0-4bec-acce-c5743ff26614"
"2026-09-03 13:54:56.030 +05:30","Password Reset By Admin","med","DESKTOP-K3ALL77","Sec",4724,569,"SubjectDomainName: WORKGROUP ¦ SubjectLogonId: 0x3e7 ¦ SubjectUserName: WIN-CPGOV99NT8H$ ¦ SubjectUserSid: S-1-5-18 ¦ TargetDomainName: DESKTOP-K3ALL77 ¦ TargetSid: S-1-5-21-859847384-699219563-2241857789-1001 ¦ TargetUserName: Hayabusa","-","0b78aca4-35f0-4bec-acce-c5743ff26614"
